date,power consumption
01-01-2012,610813
02-01-2012,2960302
03-01-2012,441735
04-01-2012,11525708
05-01-2012,5246539
06-01-2012,19769929
07-01-2012,679992
08-01-2012,26781782
09-01-2012,5627184
10-01-2012,5949963
11-01-2012,4221370
12-01-2012,7759926
13-01-2012,4733475
14-01-2012,3510064
15-01-2012,5207984
16-01-2012,25753961
17-01-2012,938408
18-01-2012,4328609
19-01-2012,17059411
20-01-2012,2924706
21-01-2012,1075502
22-01-2012,22869703
23-01-2012,2239810
24-01-2012,2144253
25-01-2012,7086073
26-01-2012,8268328
27-01-2012,9457662
28-01-2012,1522173
29-01-2012,12318895
30-01-2012,3892229
31-01-2012,11693241
01-02-2012,12606139
02-02-2012,10513392
03-02-2012,4483221
04-02-2012,113771302
05-02-2012,3235328
06-02-2012,9915927
07-02-2012,13822880
08-02-2012,2995184
09-02-2012,1663569
10-02-2012,97696162
11-02-2012,17326207
12-02-2012,5846685
13-02-2012,3778008
14-02-2012,7069865
15-02-2012,7358457
16-02-2012,2531877
17-02-2012,3993562
18-02-2012,2626009
19-02-2012,8987704
20-02-2012,12537919
21-02-2012,2929461
22-02-2012,7984213
23-02-2012,6310607
24-02-2012,2419612
25-02-2012,148022213
26-02-2012,6652395
27-02-2012,4200000
28-02-2012,20613418
29-02-2012,16360948
01-03-2012,16986047
02-03-2012,4391267
03-03-2012,4832614
04-03-2012,10014938
05-03-2012,4994277
06-03-2012,9393742
07-03-2012,5077535
08-03-2012,6372258
09-03-2012,3762836
10-03-2012,4268094
11-03-2012,3450396
12-03-2012,1563102
13-03-2012,10486266
14-03-2012,4720404
15-03-2012,7548896
16-03-2012,23190921
17-03-2012,13040331
18-03-2012,46153984
19-03-2012,12135498
20-03-2012,13354409
21-03-2012,20423116
22-03-2012,13619551
23-03-2012,14569270
24-03-2012,2808961
25-03-2012,2769197
26-03-2012,1834027
27-03-2012,1197747
28-03-2012,19753111
29-03-2012,71482381
30-03-2012,122711065
31-03-2012,6225129
01-04-2012,73382420
02-04-2012,91773616
03-04-2012,117932948
04-04-2012,59566964
05-04-2012,22941368
06-04-2012,32545706
07-04-2012,10259052
08-04-2012,8466470
09-04-2012,6555973
10-04-2012,29376017
11-04-2012,4066529
12-04-2012,6219392
13-04-2012,31459152
14-04-2012,11709853
15-04-2012,4485525
16-04-2012,5521717
17-04-2012,1573587
18-04-2012,3443657
19-04-2012,14032714
20-04-2012,7484310
21-04-2012,12002083
22-04-2012,41265834
23-04-2012,6821213
24-04-2012,1006088
25-04-2012,5892370
26-04-2012,17879281
27-04-2012,8164394
28-04-2012,8803189
29-04-2012,286818330
30-04-2012,36024993
01-05-2012,2514753
02-05-2012,2936540
03-05-2012,10416796
04-05-2012,19310341
05-05-2012,3550231
06-05-2012,15553951
07-05-2012,8164335
08-05-2012,229113048
09-05-2012,7464626
10-05-2012,5333314
11-05-2012,173504021
12-05-2012,29125503
13-05-2012,245184301
14-05-2012,11147069
15-05-2012,132202749
16-05-2012,14187010
17-05-2012,4218870
18-05-2012,25192417
19-05-2012,12737197
20-05-2012,15889328
21-05-2012,16892370
22-05-2012,8858671
23-05-2012,16123499
24-05-2012,5394957
25-05-2012,8801076
26-05-2012,6697293
27-05-2012,3867354
28-05-2012,42555247
29-05-2012,39289719
30-05-2012,201759834
31-05-2012,48406493
01-06-2012,29594433
02-06-2012,255140647
03-06-2012,45788370
04-06-2012,2063527691
05-06-2012,16480445
06-06-2012,24409282
07-06-2012,45922161
08-06-2012,85760664
09-06-2012,30460366
10-06-2012,24416965
11-06-2012,54843315
12-06-2012,91648148
13-06-2012,54673610
14-06-2012,21253191
15-06-2012,89601816
16-06-2012,667534915
17-06-2012,61218863
18-06-2012,74389605
19-06-2012,19763706
20-06-2012,37380933
21-06-2012,116262751
22-06-2012,40652268
23-06-2012,41295928
24-06-2012,223008154
25-06-2012,21748024
26-06-2012,132239997
27-06-2012,55712283
28-06-2012,302143759
29-06-2012,16283445
30-06-2012,97421969
01-07-2012,18990099
02-07-2012,34090270
03-07-2012,48944931
04-07-2012,27520061
05-07-2012,595177841
06-07-2012,97856850
07-07-2012,10176511
08-07-2012,65521825
09-07-2012,8674535
10-07-2012,14132760
11-07-2012,9026651
12-07-2012,80805248
13-07-2012,15263937
14-07-2012,8994216
15-07-2012,42248384
16-07-2012,12174649
17-07-2012,37317041
18-07-2012,270745351
19-07-2012,20212110
20-07-2012,13208741
21-07-2012,16133028
22-07-2012,20456916
23-07-2012,61995465
24-07-2012,48789231
25-07-2012,16369655
26-07-2012,7420933
27-07-2012,9647893
28-07-2012,8106364
29-07-2012,23374589
30-07-2012,33632953
31-07-2012,25493161
01-08-2012,14938672
02-08-2012,15812665
03-08-2012,12645141
04-08-2012,16144798
05-08-2012,18261691
06-08-2012,6049347
07-08-2012,20100482
08-08-2012,19558974
09-08-2012,19885690
10-08-2012,17970942
11-08-2012,28954809
12-08-2012,7134614
13-08-2012,24703125
14-08-2012,81047490
15-08-2012,7087485
16-08-2012,15394113
17-08-2012,15922559
18-08-2012,51251974
19-08-2012,33873931
20-08-2012,13626664
21-08-2012,201422356
22-08-2012,9395299
23-08-2012,9377048
24-08-2012,1210426430
25-08-2012,29829195
26-08-2012,12510120
27-08-2012,11718958
28-08-2012,28049392
29-08-2012,7288594
30-08-2012,10208847
31-08-2012,12327245
01-09-2012,16047898
02-09-2012,10449450
03-09-2012,59588237
04-09-2012,8870184
05-09-2012,27247189
06-09-2012,9872642
07-09-2012,64819176
08-09-2012,27358524
09-09-2012,9715604
10-09-2012,15514624
11-09-2012,97698538
12-09-2012,49416581
13-09-2012,13440375
14-09-2012,11987470
15-09-2012,12705249
16-09-2012,15628030
17-09-2012,7110706
18-09-2012,8159779
19-09-2012,80173298
20-09-2012,22930580
21-09-2012,61449905
22-09-2012,13261388
23-09-2012,38181982
24-09-2012,24275133
25-09-2012,112011023
26-09-2012,9129882
27-09-2012,37260630
28-09-2012,54340037
29-09-2012,17634378
30-09-2012,10034396
01-10-2012,10783285
02-10-2012,11621912
03-10-2012,182137753
04-10-2012,34406074
05-10-2012,31866298
06-10-2012,25213409
07-10-2012,56717757
08-10-2012,126098936
09-10-2012,21613367
10-10-2012,10024384
11-10-2012,22001104
12-10-2012,8954043
13-10-2012,8568680
14-10-2012,7741644
15-10-2012,17013379
16-10-2012,25702132
17-10-2012,341632634
18-10-2012,14079619
19-10-2012,109010844
20-10-2012,28578176
21-10-2012,15958814
22-10-2012,18271745
23-10-2012,219017792
24-10-2012,30109910
25-10-2012,279543
26-10-2012,1841035
27-10-2012,20190237
28-10-2012,67764976
29-10-2012,172050120
30-10-2012,10852751
31-10-2012,54761155
01-11-2012,12689649
02-11-2012,69301430
03-11-2012,11570682
04-11-2012,196984219
05-11-2012,84699903
06-11-2012,11467476
07-11-2012,54356081
08-11-2012,30545040
09-11-2012,5262683800
10-11-2012,263979463
11-11-2012,411397637
12-11-2012,9190052
13-11-2012,1351066
14-11-2012,59350592
