date,dew,temp,press,wnd_spd,snow,rain,pollution
02-01-2010 00:00,-16,-4,1020,1.79,0,0,129
02-01-2010 01:00,-15,-4,1020,2.68,0,0,148
02-01-2010 02:00,-11,-5,1021,3.57,0,0,159
02-01-2010 03:00,-7,-5,1022,5.36,1,0,181
02-01-2010 04:00,-7,-5,1022,6.25,2,0,138
02-01-2010 05:00,-7,-6,1022,7.14,3,0,109
02-01-2010 06:00,-7,-6,1023,8.93,4,0,105
02-01-2010 07:00,-7,-5,1024,10.72,0,0,124
02-01-2010 08:00,-8,-6,1024,12.51,0,0,120
02-01-2010 09:00,-7,-5,1025,14.3,0,0,132
02-01-2010 10:00,-7,-5,1026,17.43,1,0,140
02-01-2010 11:00,-8,-5,1026,20.56,0,0,152
02-01-2010 12:00,-8,-5,1026,23.69,0,0,148
02-01-2010 13:00,-8,-5,1025,27.71,0,0,164
02-01-2010 14:00,-9,-5,1025,31.73,0,0,158
02-01-2010 15:00,-9,-5,1025,35.75,0,0,154
02-01-2010 16:00,-9,-5,1026,37.54,0,0,159
02-01-2010 17:00,-8,-5,1027,39.33,0,0,164
02-01-2010 18:00,-8,-5,1027,42.46,0,0,170
02-01-2010 19:00,-8,-5,1028,44.25,0,0,149
02-01-2010 20:00,-7,-5,1028,46.04,0,0,154
02-01-2010 21:00,-7,-5,1027,49.17,1,0,164
02-01-2010 22:00,-8,-6,1028,52.3,2,0,156
02-01-2010 23:00,-8,-6,1027,55.43,3,0,126
03-01-2010 00:00,-7,-6,1027,58.56,4,0,90
03-01-2010 01:00,-8,-6,1026,61.69,5,0,63
03-01-2010 02:00,-8,-7,1026,65.71,6,0,65
03-01-2010 03:00,-8,-7,1025,68.84,7,0,55
03-01-2010 04:00,-8,-7,1024,72.86,8,0,65
03-01-2010 05:00,-9,-8,1024,76.88,9,0,83
03-01-2010 06:00,-10,-8,1024,80.9,10,0,91
03-01-2010 07:00,-10,-9,1024,84.92,11,0,86
03-01-2010 08:00,-10,-9,1024,89.84,12,0,82
