date,dew,temp,press,wnd_spd,snow,rain,pollution
02-01-2010 00:00,-16,-4.0,1020.0,1.79,0,0,129
02-01-2010 01:00,-15,-4.0,1020.0,2.68,0,0,148
02-01-2010 02:00,-11,-5.0,1021.0,3.57,0,0,159
02-01-2010 03:00,-7,-5.0,1022.0,5.36,1,0,181
02-01-2010 04:00,-7,-5.0,1022.0,6.25,2,0,138
02-01-2010 05:00,-7,-6.0,1022.0,7.14,3,0,109
02-01-2010 06:00,-7,-6.0,1023.0,8.93,4,0,105
02-01-2010 07:00,-7,-5.0,1024.0,10.72,0,0,124
02-01-2010 08:00,-8,-6.0,1024.0,12.51,0,0,120
02-01-2010 09:00,-7,-5.0,1025.0,14.3,0,0,132
02-01-2010 10:00,-7,-5.0,1026.0,17.43,1,0,140
02-01-2010 11:00,-8,-5.0,1026.0,20.56,0,0,152
02-01-2010 12:00,-8,-5.0,1026.0,23.69,0,0,148
02-01-2010 13:00,-8,-5.0,1025.0,27.71,0,0,164
02-01-2010 14:00,-9,-5.0,1025.0,31.73,0,0,158
02-01-2010 15:00,-9,-5.0,1025.0,35.75,0,0,154
02-01-2010 16:00,-9,-5.0,1026.0,37.54,0,0,159
02-01-2010 17:00,-8,-5.0,1027.0,39.33,0,0,164
02-01-2010 18:00,-8,-5.0,1027.0,42.46,0,0,170
02-01-2010 19:00,-8,-5.0,1028.0,44.25,0,0,149
02-01-2010 20:00,-7,-5.0,1028.0,46.04,0,0,154
02-01-2010 21:00,-7,-5.0,1027.0,49.17,1,0,164
02-01-2010 22:00,-8,-6.0,1028.0,52.3,2,0,156
02-01-2010 23:00,-8,-6.0,1027.0,55.43,3,0,126
03-01-2010 00:00,-7,-6.0,1027.0,58.56,4,0,90
03-01-2010 01:00,-8,-6.0,1026.0,61.69,5,0,63
03-01-2010 02:00,-8,-7.0,1026.0,65.71,6,0,65
03-01-2010 03:00,-8,-7.0,1025.0,68.84,7,0,55
03-01-2010 04:00,-8,-7.0,1024.0,72.86,8,0,65
03-01-2010 05:00,-9,-8.0,1024.0,76.88,9,0,83
03-01-2010 06:00,-10,-8.0,1024.0,80.9,10,0,91
03-01-2010 07:00,-10,-9.0,1024.0,84.92,11,0,86
03-01-2010 08:00,-10,-9.0,1024.0,89.84,12,0,82
03-01-2010 09:00,-11,-9.0,1023.0,93.86,13,0,86
03-01-2010 10:00,-11,-9.0,1023.0,97.88,15,0,78
03-01-2010 11:00,-11,-9.0,1022.0,102.8,16,0,98
03-01-2010 12:00,-11,-9.0,1021.0,105.93,17,0,107
03-01-2010 13:00,-11,-9.0,1020.0,111.74,19,0,90
03-01-2010 14:00,-11,-9.0,1020.0,116.66,20,0,96
03-01-2010 15:00,-11,-9.0,1020.0,121.58,21,0,95
03-01-2010 16:00,-11,-9.0,1020.0,124.71,22,0,86
03-01-2010 17:00,-11,-9.0,1020.0,127.84,23,0,70
03-01-2010 18:00,-11,-9.0,1021.0,0.89,24,0,61
03-01-2010 19:00,-11,-9.0,1022.0,1.78,25,0,53
03-01-2010 20:00,-10,-9.0,1022.0,4.02,26,0,71
03-01-2010 21:00,-11,-10.0,1023.0,7.15,27,0,72
03-01-2010 22:00,-11,-9.0,1023.0,11.17,0,0,76
03-01-2010 23:00,-12,-11.0,1023.0,14.3,0,0,73
04-01-2010 00:00,-14,-12.0,1023.0,16.09,0,0,79
04-01-2010 01:00,-16,-9.0,1023.0,21.9,0,0,58
04-01-2010 02:00,-17,-10.0,1024.0,29.95,0,0,25
04-01-2010 03:00,-18,-11.0,1024.0,39.78,0,0,26
04-01-2010 04:00,-19,-11.0,1025.0,48.72,0,0,28
04-01-2010 05:00,-20,-12.0,1026.0,55.87,0,0,26
04-01-2010 06:00,-21,-12.0,1027.0,64.81,0,0,20
04-01-2010 07:00,-21,-13.0,1027.0,73.75,0,0,29
04-01-2010 08:00,-22,-13.0,1028.0,80.9,0,0,26
04-01-2010 09:00,-22,-13.0,1029.0,90.73,0,0,27
04-01-2010 10:00,-22,-12.0,1030.0,100.56,0,0,27
04-01-2010 11:00,-23,-12.0,1031.0,108.61,0,0,25
04-01-2010 12:00,-21,-11.0,1030.0,117.55,0,0,29
04-01-2010 13:00,-20,-10.0,1030.0,127.38,0,0,32
04-01-2010 14:00,-21,-10.0,1030.0,136.32,0,0,28
04-01-2010 15:00,-21,-9.0,1030.0,145.26,0,0,29
04-01-2010 16:00,-21,-9.0,1031.0,152.41,0,0,30
04-01-2010 17:00,-20,-11.0,1032.0,159.56,0,0,30
04-01-2010 18:00,-23,-11.0,1032.0,165.37,0,0,28
04-01-2010 19:00,-21,-12.0,1033.0,171.18,0,0,26
04-01-2010 20:00,-24,-12.0,1034.0,180.12,0,0,31
04-01-2010 21:00,-24,-13.0,1034.0,187.27,0,0,33
04-01-2010 22:00,-24,-13.0,1035.0,195.32,0,0,29
04-01-2010 23:00,-26,-15.0,1035.0,198.45,0,0,31
05-01-2010 00:00,-26,-17.0,1035.0,201.58,0,0,30
05-01-2010 01:00,-26,-18.0,1035.0,205.6,0,0,34
05-01-2010 02:00,-26,-19.0,1035.0,208.73,0,0,27
05-01-2010 03:00,-27,-18.0,1035.0,213.65,0,0,25
05-01-2010 04:00,-27,-19.0,1035.0,218.57,0,0,28
05-01-2010 05:00,-27,-16.0,1034.0,4.92,0,0,28
05-01-2010 06:00,-26,-16.0,1035.0,8.05,0,0,27
05-01-2010 07:00,-27,-16.0,1034.0,13.86,0,0,27
05-01-2010 08:00,-26,-16.0,1035.0,18.78,0,0,27
05-01-2010 09:00,-26,-15.0,1035.0,24.59,0,0,29
05-01-2010 10:00,-25,-14.0,1035.0,29.51,0,0,36
05-01-2010 11:00,-25,-13.0,1035.0,34.43,0,0,30
05-01-2010 12:00,-25,-12.0,1034.0,39.35,0,0,27
05-01-2010 13:00,-24,-11.0,1032.0,41.14,0,0,39
05-01-2010 14:00,-22,-11.0,1032.0,0.89,0,0,41
05-01-2010 15:00,-23,-11.0,1031.0,1.79,0,0,33
05-01-2010 16:00,-24,-11.0,1031.0,3.58,0,0,50
05-01-2010 17:00,-23,-11.0,1031.0,5.37,0,0,56
05-01-2010 18:00,-23,-11.0,1032.0,7.16,0,0,59
05-01-2010 19:00,-22,-13.0,1033.0,10.29,0,0,60
05-01-2010 20:00,-22,-12.0,1033.0,13.42,0,0,84
05-01-2010 21:00,-24,-18.0,1033.0,16.55,0,0,106
05-01-2010 22:00,-22,-13.0,1034.0,20.57,0,0,66
05-01-2010 23:00,-22,-16.0,1033.0,23.7,0,0,50
06-01-2010 00:00,-25,-17.0,1033.0,26.83,0,0,56
06-01-2010 01:00,-25,-14.0,1033.0,4.02,0,0,77
06-01-2010 02:00,-26,-14.0,1034.0,8.04,0,0,50
06-01-2010 03:00,-26,-14.0,1033.0,13.85,0,0,44
06-01-2010 04:00,-26,-14.0,1033.0,17.87,0,0,27
06-01-2010 05:00,-26,-14.0,1033.0,23.68,0,0,28
06-01-2010 06:00,-26,-14.0,1033.0,28.6,0,0,21
06-01-2010 07:00,-26,-15.0,1034.0,33.52,0,0,25
06-01-2010 08:00,-26,-14.0,1034.0,39.33,0,0,20
06-01-2010 09:00,-25,-13.0,1035.0,44.25,0,0,29
06-01-2010 10:00,-25,-12.0,1035.0,50.06,0,0,34
06-01-2010 11:00,-24,-11.0,1035.0,54.98,0,0,42
06-01-2010 12:00,-24,-10.0,1034.0,59.0,0,0,28
06-01-2010 13:00,-22,-10.0,1033.0,4.02,0,0,36
06-01-2010 14:00,-22,-9.0,1033.0,5.81,0,0,48
06-01-2010 15:00,-22,-8.0,1033.0,0.89,0,0,49
06-01-2010 16:00,-22,-8.0,1033.0,1.79,0,0,52
06-01-2010 17:00,-21,-9.0,1033.0,3.58,0,0,56
06-01-2010 18:00,-22,-9.0,1033.0,5.37,0,0,96
06-01-2010 19:00,-22,-14.0,1034.0,0.89,0,0,75
06-01-2010 20:00,-22,-12.0,1035.0,1.79,0,0,105
06-01-2010 21:00,-21,-14.0,1034.0,3.58,0,0,132
06-01-2010 22:00,-22,-16.0,1035.0,5.37,0,0,93
06-01-2010 23:00,-21,-16.0,1035.0,7.16,0,0,131
07-01-2010 00:00,-21,-16.0,1035.0,8.95,0,0,127
07-01-2010 01:00,-21,-16.0,1035.0,0.45,0,0,130
07-01-2010 02:00,-22,-18.0,1036.0,1.34,0,0,43
07-01-2010 03:00,-23,-15.0,1036.0,4.02,0,0,37
07-01-2010 04:00,-24,-16.0,1035.0,7.15,0,0,30
07-01-2010 05:00,-25,-15.0,1035.0,10.28,0,0,28
07-01-2010 06:00,-24,-15.0,1035.0,14.3,0,0,24
07-01-2010 07:00,-25,-13.0,1036.0,4.92,0,0,23
07-01-2010 08:00,-24,-14.0,1036.0,4.02,0,0,24
07-01-2010 09:00,-23,-12.0,1036.0,8.94,0,0,27
07-01-2010 10:00,-22,-11.0,1036.0,12.96,0,0,40
07-01-2010 11:00,-20,-10.0,1036.0,16.09,0,0,42
07-01-2010 12:00,-21,-9.0,1035.0,19.22,0,0,42
07-01-2010 13:00,-21,-8.0,1034.0,21.01,0,0,55
07-01-2010 14:00,-20,-7.0,1033.0,22.8,0,0,52
07-01-2010 15:00,-20,-7.0,1032.0,24.59,0,0,51
07-01-2010 16:00,-18,-8.0,1032.0,26.38,0,0,57
07-01-2010 17:00,-19,-9.0,1032.0,28.17,0,0,50
